genre,title,edition,description,date,price,rating
MMORPG,Game 1,alpha,A unique Puzzle game that offers high-speed racing alongside challenging levels. Age Restriction: 14.,2009-01-05,97.23,4.9
Horror,Game 2,classic,A captivating Adventure experience that blends sports management with challenging levels. Age Restriction: 18.,2023-11-15,88.0,1.9
Horror,Game 3,beta,An innovative Action game that puzzle-solving and breathtaking visuals. Age Restriction: 15.,2023-03-15,42.7,6.3
RPG,Game 4,alpha,Experience a new level of RPG with city-building and immersive soundtracks. Age Restriction: 16.,2007-12-16,78.98,6.4
MMORPG,Game 5,classic,This Sports game captivates with sports management and dynamic environments at its core. Age Restriction: 18.,2011-10-02,89.96,1.1
Sports,Game 6,beta,"This Horror game provides intense battles, perfect for those who endless fun. Age Restriction: 3.",2014-02-27,68.3,8.0
Sports,Game 7,classic,"Experience the excitement in this Survival game, where strategic thinking and endless fun. Age Restriction: 12.",2021-03-20,14.37,1.5
RPG,Game 8,current,Explore the depths of Action with strategic thinking and dynamic environments as your guide. Age Restriction: 15.,2014-03-14,58.31,4.9
Action,Game 9,classic,Prepare for an intense Action experience with character customization and multiplayer options. Age Restriction: 16.,2013-06-25,51.16,1.6
Adventure,Game 10,beta,Experience a new level of RPG with strategic thinking and endless fun. Age Restriction: 15.,2013-07-11,29.79,3.2
Fighting,Game 11,original,"Dive into the world of Fighting with high-speed racing, offering realistic physics. Age Restriction: 8.",2015-02-04,48.39,3.3
MMORPG,Game 12,beta,"Join the adventure in this Fighting game, where character customization is paired with endless fun. Age Restriction: 9.",2006-10-13,13.13,9.1
Puzzle,Game 13,classic,Embark on an epic Survival journey where puzzle-solving and unmatched gameplay come together. Age Restriction: 12.,2018-11-30,59.92,1.5
Action,Game 14,original,Dive into Sports\ with character customization and realistic physics for a complete experience. Age Restriction: 10.,2000-12-04,23.14,1.3
Action,Game 15,current,A dynamic Fighting game that integrates high-speed racing and endless fun seamlessly. Age Restriction: 9.,2012-07-15,60.36,2.5
Adventure,Game 16,beta,"Experience the excitement in this Horror game, where character customization and endless fun. Age Restriction: 12.",2009-04-02,87.78,7.8
Sports,Game 17,beta,Prepare for an intense JRPG experience with city-building and endless fun. Age Restriction: 9.,2011-07-27,45.68,4.7
Action,Game 18,current,Immerse yourself in a MMORPG game that offers sports management and realistic physics. Age Restriction: 12.,2000-09-07,58.77,4.8
Sports,Game 19,original,Prepare for an intense Horror experience with intense battles and immersive soundtracks. Age Restriction: 9.,2000-04-01,41.81,8.5
RPG,Game 20,original,A Horror game where complex narratives meets challenging levels for an unforgettable experience. Age Restriction: 5.,2004-01-12,25.15,2.8
Fighting,Game 21,beta,"This Action game offers strategic thinking, combined with realistic physics for endless excitement. Age Restriction: 14.",2007-04-23,73.33,0.0
Simulation,Game 22,beta,Dive into Fighting\ with city-building and breathtaking visuals for a complete experience. Age Restriction: 17.,2004-02-07,56.95,1.8
Puzzle,Game 23,alpha,Dive into Fighting\ with complex narratives and unmatched gameplay for a complete experience. Age Restriction: 8.,2006-11-26,10.74,5.7
